year,county,Number of Vehicles,
2018,Alameda,8357,
2019,Alameda,8290,
2020,Alameda,7492,
2021,Alameda,11690,
2022,Alameda,17111,
2018,Los Angeles,20876,
2019,Los Angeles,22082,
2020,Los Angeles,26389,
2021,Los Angeles,47634,
2022,Los Angeles,81136,
2018,Orange,10908,
2019,Orange,11547,
2020,Orange,13876,
2021,Orange,23509,
2022,Orange,37022,
2018,San Diego,7515,
2019,San Diego,7500,
2020,San Diego,9182,
2021,San Diego,16335,
2022,San Diego,24798,
2018,Santa Clara,15434,
2019,Santa Clara,14113,
2020,Santa Clara,11961,
2021,Santa Clara,18062,
2022,Santa Clara,26461,
